station_code,station_name,observation_hour_local,pm25_ugm3,vn_aqi_pm25,pm25_source_used,vn_aqi_source_used,pm25_status,vn_aqi_status,pm25_method,vn_aqi_method,backup_station_code,snapshot_time_utc
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-13 21:00,29.85,43,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-13 22:00,44.12,53,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-13 23:00,56.76,73,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-14 00:00,57.99,31,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-14 01:00,56.10,107,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-14 02:00,56.75,108,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-14 03:00,46.09,109,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-14 04:00,35.77,99,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-14 05:00,33.12,84,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-14 06:00,38.98,76,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-14 07:00,37.14,77,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-14 08:00,35.46,75,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-14 09:00,25.18,72,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-14 10:00,11.55,59,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-14 11:00,6.30,39,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-14 12:00,16.77,27,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-14 13:00,17.40,31,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-14 14:00,12.48,32,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),2026-06-14 15:00,5.25,27,moitruongthudo,moitruongthudo,observed,reported,hourly_mean,reported_hourly_pm25_aqi,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
