source_slug,station_code,station_name,station_index,observation_hour_local,pm25_ugm3,vn_aqi_pm25,pm25_status,vn_aqi_status,pm25_method,vn_aqi_method,raw_sample_count,raw_time_resolution_minutes,backup_station_code,snapshot_time_utc
cem,31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),31390903576425084107499649578,2026-06-14 15:00,,28,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-09 10:00,,37,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-09 11:00,,41,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-09 12:00,,43,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-09 13:00,,37,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-09 14:00,,39,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-09 15:00,,44,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-09 16:00,,48,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-09 17:00,,46,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-09 18:00,,43,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-09 19:00,,34,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-09 20:00,,32,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-09 21:00,,35,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-09 22:00,,42,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-09 23:00,,50,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-10 00:00,,53,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-10 01:00,,50,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-10 02:00,,44,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-10 03:00,,45,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-10 04:00,,50,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-10 05:00,,61,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-10 06:00,,68,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-10 07:00,,65,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-10 08:00,,57,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
cem,31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),31390908889087377344742439468,2026-06-10 09:00,,54,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-13 15:00,112.28,,observed,missing,hourly_mean,,3,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-13 16:00,144.30,176,observed,reported,hourly_mean,reported_hourly_pm25_aqi,10,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-13 17:00,190.79,189,observed,reported,hourly_mean,reported_hourly_pm25_aqi,11,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-13 18:00,133.57,213,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-13 19:00,32.84,191,observed,reported,hourly_mean,reported_hourly_pm25_aqi,7,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-13 20:00,,150,missing,reported,,reported_hourly_pm25_aqi,0,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-13 22:00,,,missing,missing,,,0,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-13 23:00,,,missing,missing,,,0,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-14 00:00,42.83,,observed,missing,hourly_mean,,1,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-14 01:00,,,missing,missing,,,0,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-14 02:00,,,missing,missing,,,0,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-14 03:00,,,missing,missing,,,0,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-14 04:00,4.37,,observed,missing,hourly_mean,,9,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-14 05:00,13.88,5,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-14 06:00,21.34,18,observed,reported,hourly_mean,reported_hourly_pm25_aqi,11,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-14 07:00,31.20,31,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-14 08:00,55.57,49,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-14 09:00,90.10,85,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-14 10:00,125.96,132,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-14 11:00,150.65,164,observed,reported,hourly_mean,reported_hourly_pm25_aqi,11,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-14 12:00,143.33,183,observed,reported,hourly_mean,reported_hourly_pm25_aqi,11,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-14 13:00,124.65,188,observed,reported,hourly_mean,reported_hourly_pm25_aqi,11,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-14 14:00,132.65,184,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,28560877461938780203765592307,556 Nguyễn Văn Cừ,50,2026-06-14 15:00,153.49,187,observed,reported,hourly_mean,reported_hourly_pm25_aqi,8,5,28560877461938780203765592307,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-13 16:00,,,missing,missing,,,0,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-13 17:00,11.04,3,observed,reported,hourly_mean,reported_hourly_pm25_aqi,11,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-13 18:00,24.09,15,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-13 19:00,20.94,31,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-13 20:00,24.83,36,observed,reported,hourly_mean,reported_hourly_pm25_aqi,11,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
