regime,bins,airvisual_min,airvisual_max,r_dc1100_airvisual,r_dc1700_airvisual,r_dc1100_dc1700
low,30265,0.0,23.0,0.529413784680103,0.5244615187317703,0.8036509894982177
mid,29648,23.5,51.0,0.4609744794925622,0.5803175773203401,0.8656668263164173
high,29142,51.05,564.2,0.6722228685937599,0.790953729556183,0.9011161898070787
