day,bins,r_dc1100_dc1700,r_dc1100_airvisual,r_dc1700_airvisual,min_r,low_pair_count,low_pairs,flagged,abnormal_low_r
2019-08-26,21,0.9927001196609688,0.804962977969554,0.8236509923513575,0.804962977969554,0,,False,False
2019-08-27,22,0.956494251589309,0.8595880813044159,0.7805549540656547,0.7805549540656547,0,,False,False
2019-08-28,23,0.9883598380693943,0.9227099649491546,0.9065956846091755,0.9065956846091755,0,,False,False
2019-08-30,23,0.9990677639030432,0.9576255981545436,0.9568024447811119,0.9568024447811119,0,,False,False
2019-08-31,24,0.9994813851635215,0.9451641620041832,0.946471978391482,0.9451641620041832,0,,False,False
2019-09-01,24,0.9967368330980845,0.9105302278999063,0.9339758931614043,0.9105302278999063,0,,False,False
2019-09-02,24,0.9964643519964578,0.7337528379056638,0.7710717506161322,0.7337528379056638,0,,False,False
2019-09-03,24,0.9981222023833445,0.8489927310646344,0.865324338721824,0.8489927310646344,0,,False,False
2019-09-04,24,0.9945923482796343,0.9488869225323099,0.9266619834076825,0.9266619834076825,0,,False,False
2019-09-05,23,0.9712218380465961,0.90823859048715,0.8550187941512292,0.8550187941512292,0,,False,False
2019-09-06,24,0.9698495068825672,0.9262020469966651,0.9406726592771822,0.9262020469966651,0,,False,False
2019-09-07,24,0.9986734486194889,0.8987531141255676,0.8822678806412858,0.8822678806412858,0,,False,False
2019-09-08,24,0.9976899526211515,0.8996091121262455,0.8872351758410575,0.8872351758410575,0,,False,False
2019-09-09,18,0.9976527463893438,0.7593101566375594,0.7539386071981008,0.7539386071981008,0,,False,False
2019-09-10,24,0.9953993770987709,0.783694657239923,0.7962609601846227,0.783694657239923,0,,False,False
2019-09-11,24,0.9976911156336044,0.9443837200060726,0.9364854349578317,0.9364854349578317,0,,False,False
2019-09-12,18,0.9840425757496096,0.8949891280951249,0.9031095971452545,0.8949891280951249,0,,False,False
2019-09-14,24,0.9849839623089287,0.912710095484956,0.9547569765159238,0.912710095484956,0,,False,False
2019-09-17,20,0.9957818793330346,0.907759110287857,0.907635432053119,0.907635432053119,0,,False,False
2019-09-18,20,0.9777290602939055,0.743659161216375,0.6888030633214405,0.6888030633214405,0,,False,False
2019-09-19,21,0.9642137640523244,0.25343584946158765,0.05852511649714246,0.05852511649714246,2,r_dc1100_airvisual;r_dc1700_airvisual,True,True
2019-09-22,24,0.998752056957344,0.9176764419815805,0.919793562603332,0.9176764419815805,0,,False,False
2019-09-23,24,0.9827126653614068,0.9703654837473336,0.9562102556497064,0.9562102556497064,0,,False,False
2019-09-24,24,0.969448611181386,0.9785926303603497,0.9653910326449704,0.9653910326449704,0,,False,False
2019-09-25,24,0.9419113709602004,0.9361899748917062,0.8952565445850857,0.8952565445850857,0,,False,False
2019-09-26,24,0.9578104800372313,0.907793296298395,0.8635930296201206,0.8635930296201206,0,,False,False
2019-09-27,24,0.9635907440304703,0.9578580987012579,0.9810519326242618,0.9578580987012579,0,,False,False
2019-09-28,24,0.9572839648740405,0.9671314375999319,0.9549310917238625,0.9549310917238625,0,,False,False
2019-09-29,24,0.9422774090502393,0.9136135346904072,0.920997217104648,0.9136135346904072,0,,False,False
2019-10-01,24,0.9747852091731717,0.9651376831713103,0.9650178647917796,0.9650178647917796,0,,False,False
2019-10-02,24,0.9892884470343624,0.9235627005398471,0.9379243183537427,0.9235627005398471,0,,False,False
2019-10-03,24,0.8753136465049344,0.9613450241579493,0.7960380268167053,0.7960380268167053,0,,False,False
2019-10-04,24,0.9857474483529124,0.9922103643495013,0.9730573688260467,0.9730573688260467,0,,False,False
2019-10-05,24,0.9208405366458802,0.890988281339837,0.8901113558271649,0.8901113558271649,0,,False,False
2019-10-06,24,0.956955720369556,0.9009311651425421,0.956453013780406,0.9009311651425421,0,,False,False
2019-10-07,24,0.9253782833101823,0.7709101330144643,0.8228384926513562,0.7709101330144643,0,,False,False
2019-10-08,24,0.9939511322135608,0.9416399555696273,0.9417539202840458,0.9416399555696273,0,,False,False
2019-10-09,24,0.9856124669994594,0.9691425771371374,0.9463070601573721,0.9463070601573721,0,,False,False
2019-10-10,24,0.9751855259752411,0.9492322217334063,0.9436123330889616,0.9436123330889616,0,,False,False
2019-10-11,24,0.9954653034478143,0.9610846953793168,0.9546710538526025,0.9546710538526025,0,,False,False
2019-10-12,24,0.9915201495053062,0.9643211803211207,0.9368191797319729,0.9368191797319729,0,,False,False
2019-10-13,24,0.9770571518198552,0.947614170085035,0.9002437074895164,0.9002437074895164,0,,False,False
2019-10-14,24,0.9729415561810774,0.8753421225125523,0.7780364341717511,0.7780364341717511,0,,False,False
2019-10-15,24,0.9794931838032146,0.9444586966183597,0.8804178364559156,0.8804178364559156,0,,False,False
2019-10-16,24,0.8945215890730603,0.5730463911634504,0.4010764089120121,0.4010764089120121,1,r_dc1700_airvisual,False,False
2019-10-18,24,0.9561486713419821,0.9022784313705035,0.9256727742166827,0.9022784313705035,0,,False,False
2019-10-19,24,0.9882045367722326,0.8824851095115335,0.8544852634257667,0.8544852634257667,0,,False,False
2019-10-20,24,0.8851883250554817,0.5934113437894349,0.6780275194051896,0.5934113437894349,0,,False,False
2019-10-21,24,0.9367409174176212,0.9027310789658357,0.9533799522333658,0.9027310789658357,0,,False,False
2019-10-22,24,0.9841679487855872,0.9626302997303713,0.9416105426092874,0.9416105426092874,0,,False,False
2019-10-23,24,0.9843943855485027,0.8825843634835945,0.8107239207936663,0.8107239207936663,0,,False,False
2019-10-24,24,0.9938124074170975,0.9723857011369755,0.9565436313532537,0.9565436313532537,0,,False,False
2019-10-25,24,0.9894663699153249,0.9825900675999456,0.9710108199924649,0.9710108199924649,0,,False,False
2019-10-26,24,0.9978087786896802,0.7526014501716403,0.7538001583832101,0.7526014501716403,0,,False,False
2019-10-27,24,0.9616718406588123,0.9667756984555447,0.9552971362353097,0.9552971362353097,0,,False,False
2019-10-28,24,0.9835279740561872,0.986486644327793,0.975943351761316,0.975943351761316,0,,False,False
2019-10-29,24,0.9987139080892785,0.9569303406619211,0.965675236049191,0.9569303406619211,0,,False,False
2019-10-30,24,0.9874076156598992,0.9029123370821728,0.9310061401411032,0.9029123370821728,0,,False,False
2019-10-31,24,0.9751527186370154,0.958905804063769,0.9807694894587621,0.958905804063769,0,,False,False
2019-11-01,24,0.9817536207838043,0.879657584561093,0.8094484566960313,0.8094484566960313,0,,False,False
2019-11-02,24,0.9699612643203939,0.9198260945631483,0.9017670592094043,0.9017670592094043,0,,False,False
